side,firstblood,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,firstdragon,firstherald,firsttower,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,firstbaron,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,result
0,1.0,-1.0,1200.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2548.0,3476.0,21.0,4.0,4.0,1.0,3670.0,3160.0,37.0,4.0,4.0,2.0,1.0,5255.0,2585.0,43.0,7.0,7.0,5.0,1
1,1.0,-394.0,-986.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,-2386.0,-3226.0,-9.0,1.0,3.0,4.0,-4681.0,-6620.0,-20.0,1.0,3.0,7.0,0.0,-7523.0,-8394.0,-48.0,3.0,7.0,10.0,0
0,0.0,394.0,986.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,2386.0,3226.0,9.0,4.0,8.0,1.0,4681.0,6620.0,20.0,7.0,13.0,1.0,1.0,7523.0,8394.0,48.0,10.0,19.0,3.0,1
1,1.0,-650.0,-1014.0,-18.0,1.0,1.0,1.0,0.0,0.0,0.0,-1022.0,-2154.0,-25.0,1.0,1.0,1.0,-79.0,1483.0,-1.0,3.0,6.0,1.0,0.0,-4732.0,-2627.0,-8.0,3.0,6.0,6.0,0
0,0.0,650.0,1014.0,18.0,1.0,0.0,1.0,1.0,1.0,1.0,1022.0,2154.0,25.0,1.0,0.0,1.0,79.0,-1483.0,1.0,1.0,0.0,3.0,1.0,4732.0,2627.0,8.0,6.0,11.0,3.0,1
1,0.0,85.0,-322.0,-13.0,0.0,0.0,0.0,0.0,0.0,1.0,364.0,-241.0,-10.0,0.0,0.0,1.0,2165.0,622.0,-1.0,2.0,4.0,2.0,1.0,-726.0,-3019.0,-27.0,3.0,8.0,5.0,0
0,1.0,-85.0,322.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,-364.0,241.0,10.0,1.0,2.0,0.0,-2165.0,-622.0,1.0,2.0,5.0,2.0,0.0,726.0,3019.0,27.0,5.0,13.0,3.0,1
1,0.0,-1858.0,-1550.0,-26.0,0.0,0.0,2.0,0.0,0.0,0.0,-2446.0,-2753.0,-41.0,1.0,2.0,3.0,-4605.0,-3054.0,-59.0,3.0,8.0,8.0,0.0,-11145.0,-7683.0,-104.0,3.0,8.0,14.0,0
0,1.0,1858.0,1550.0,26.0,2.0,3.0,0.0,1.0,1.0,1.0,2446.0,2753.0,41.0,3.0,3.0,1.0,4605.0,3054.0,59.0,8.0,18.0,3.0,0.0,11145.0,7683.0,104.0,14.0,33.0,3.0,1
1,1.0,15.0,-381.0,-11.0,1.0,2.0,0.0,1.0,1.0,1.0,1539.0,-107.0,13.0,2.0,5.0,0.0,3263.0,950.0,41.0,3.0,7.0,2.0,1.0,3267.0,271.0,54.0,4.0,9.0,5.0,1
0,0.0,-15.0,381.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,-1539.0,107.0,-13.0,0.0,0.0,2.0,-3263.0,-950.0,-41.0,2.0,4.0,3.0,0.0,-3267.0,-271.0,-54.0,5.0,15.0,4.0,0
1,0.0,262.0,264.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,420.0,246.0,16.0,0.0,0.0,1.0,3008.0,2610.0,-12.0,4.0,8.0,1.0,1.0,5283.0,3273.0,1.0,4.0,8.0,1.0,1
0,1.0,-262.0,-264.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,-420.0,-246.0,-16.0,1.0,4.0,0.0,-3008.0,-2610.0,12.0,1.0,4.0,4.0,0.0,-5283.0,-3273.0,-1.0,1.0,4.0,4.0,0
1,0.0,-255.0,13.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,-316.0,-1452.0,-34.0,1.0,3.0,1.0,-1588.0,-1600.0,-18.0,3.0,5.0,5.0,0.0,1353.0,1094.0,4.0,7.0,14.0,7.0,0
0,1.0,255.0,-13.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,316.0,1452.0,34.0,1.0,4.0,1.0,1588.0,1600.0,18.0,5.0,13.0,3.0,0.0,-1353.0,-1094.0,-4.0,7.0,18.0,7.0,1
1,1.0,2115.0,870.0,29.0,2.0,4.0,0.0,0.0,1.0,1.0,3256.0,1831.0,45.0,5.0,14.0,2.0,4869.0,1624.0,71.0,5.0,14.0,3.0,1.0,9022.0,5252.0,72.0,10.0,33.0,3.0,1
0,0.0,-2115.0,-870.0,-29.0,0.0,0.0,2.0,1.0,0.0,0.0,-3256.0,-1831.0,-45.0,2.0,5.0,5.0,-4869.0,-1624.0,-71.0,3.0,9.0,5.0,0.0,-9022.0,-5252.0,-72.0,3.0,9.0,10.0,0
1,1.0,1193.0,1274.0,29.0,1.0,0.0,0.0,0.0,1.0,1.0,1909.0,20.0,23.0,1.0,0.0,2.0,4451.0,298.0,22.0,3.0,4.0,3.0,0.0,7585.0,2655.0,47.0,7.0,10.0,6.0,1
0,0.0,-1193.0,-1274.0,-29.0,0.0,0.0,1.0,1.0,0.0,0.0,-1909.0,-20.0,-23.0,2.0,3.0,1.0,-4451.0,-298.0,-22.0,3.0,5.0,3.0,0.0,-7585.0,-2655.0,-47.0,6.0,13.0,7.0,0
1,1.0,-2100.0,-1833.0,-19.0,1.0,2.0,5.0,1.0,0.0,0.0,-2760.0,-2641.0,-21.0,3.0,5.0,9.0,-1864.0,-2626.0,3.0,5.0,10.0,11.0,0.0,-2883.0,-3861.0,28.0,7.0,15.0,16.0,0
0,0.0,2100.0,1833.0,19.0,5.0,15.0,1.0,0.0,1.0,1.0,2760.0,2641.0,21.0,9.0,18.0,3.0,1864.0,2626.0,-3.0,11.0,23.0,5.0,1.0,2883.0,3861.0,-28.0,16.0,36.0,7.0,1
1,1.0,336.0,1231.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,541.0,1032.0,15.0,2.0,1.0,2.0,-433.0,-655.0,-11.0,2.0,1.0,2.0,1.0,-70.0,-721.0,-2.0,2.0,1.0,2.0,0
0,0.0,-336.0,-1231.0,-3.0,1.0,2.0,2.0,1.0,0.0,1.0,-541.0,-1032.0,-15.0,2.0,4.0,2.0,433.0,655.0,11.0,2.0,4.0,2.0,0.0,70.0,721.0,2.0,2.0,4.0,2.0,1
1,0.0,1100.0,1768.0,28.0,2.0,3.0,1.0,0.0,0.0,1.0,1456.0,2256.0,48.0,2.0,3.0,1.0,2203.0,2400.0,60.0,4.0,10.0,1.0,1.0,4093.0,4438.0,49.0,8.0,16.0,2.0,1
0,1.0,-1100.0,-1768.0,-28.0,1.0,2.0,2.0,1.0,1.0,0.0,-1456.0,-2256.0,-48.0,1.0,2.0,2.0,-2203.0,-2400.0,-60.0,1.0,2.0,4.0,0.0,-4093.0,-4438.0,-49.0,2.0,3.0,8.0,0
1,0.0,1415.0,1377.0,26.0,3.0,9.0,1.0,1.0,1.0,1.0,3067.0,2588.0,24.0,5.0,13.0,1.0,6629.0,4718.0,45.0,8.0,22.0,1.0,1.0,6526.0,5253.0,69.0,9.0,25.0,2.0,1
0,1.0,-1415.0,-1377.0,-26.0,1.0,3.0,3.0,0.0,0.0,0.0,-3067.0,-2588.0,-24.0,1.0,3.0,5.0,-6629.0,-4718.0,-45.0,1.0,3.0,8.0,0.0,-6526.0,-5253.0,-69.0,2.0,6.0,9.0,0
